,text,negative&positive,depression
0,amnesty international admits syrian  saydnaya  report fabricated entirely in uk httpstco6drisksnrg syria saydnaya,[ 0.37677622  0.62322378],positive
1,rt joyce_karam front pages of 2 major arab newspapers tom syria cw massacre defies world tests trump httpstcoa55dk7cvj4,[ 0.89185274  0.10814723],negative
2,rt cov_bhoy guardian guardian front page fakenews debunked syria httpstcon7xfblsit8,[ 0.89185274  0.10814723],negative
3,realdonaldtrump now is when america is supposed to stand strong amp dotherightthing obama was a coward what say httpstcoejamognmsk,[ 0.89185274  0.10814723],negative
4,rt thedanechris syria parttime jihadist parttime doctor    httpstcodhoar30l4m,[ 0.89185274  0.10814723],negative
5,"rt spacelife_game mankind must put an end to war or war will put an end to mankind
john f kennedy
syriaconf2017 syrie syria quote",[ 0.89185274  0.10814723],negative
6,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
7,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
8,syriachemicalattack  prayers go out to the people of syria  syria,[ 0.36721578  0.63278425],positive
9,rt free_media_hub syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.89185274  0.10814723],negative
10,rt ikhwansyriaen starting with toppling criminal assad amp liberating syria from all kinds of invasion amp winning the freedom amp dignity fo,[ 0.89185274  0.10814723],negative
11,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
12,fsaplatform soon or later the responsibles of these chemical attacks will pay for their crimes if not herethen httpstco1y6ioinrjw,[ 0.02835219  0.97164786],positive
13,rt thedanechris syria parttime jihadist parttime doctor    httpstcodhoar30l4m,[ 0.89185274  0.10814723],negative
14,"rt ward_alyafe syria
chemical weapons attacks against  khan_shaikhoun in idleb httpstco1z6qkp81jh",[ 0.89185274  0.10814723],negative
15,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
16,rt 1954candanga snhr a baby victim of syria n regime forces use of chemicalweapons in khansheikhoun on apr 4 snhr httpstcoyb,[ 0.89185274  0.10814723],negative
17,rt inihelene syria has showed us the true colours of the un eu oic and the arab league,[ 0.89185274  0.10814723],negative
18,"rt fsaplatform breaking  syria

fsa statement fsa mourns civilian victims of regime chemical weapons massacre not the 1st time nor",[ 0.89185274  0.10814723],negative
19,rt kat4obama horrible images from syria trump joins hands with putins monster assad tulsi gabbard tries to deflect blame httpstc,[ 0.89185274  0.10814723],negative
20,rt rita_katz 1 idlib massacre though assad regime has used chemicalweapons like chlorine in syria this is 1st time it used sarin g,[ 0.89185274  0.10814723],negative
